artist,community
Cheap Trick,0
Alice Cooper,0
Meat Loaf,0
Styx (band),0
Rush (band),0
Ratt,0
April Wine,0
Living Colour,0
Slade,0
The Yardbirds,0
Blue Öyster Cult,0
Extreme (band),0
Steve Vai,0
Van Halen,0
Whitesnake,0
Uriah Heep (band),0
Cinderella (band),0
Warrant (American band),0
Aerosmith,0
Guns N' Roses,0
Cold Chisel,0
Poison (American band),0
Europe (band),0
Kansas (band),0
AC/DC,0
Ozzy Osbourne,0
Billy Squier,0
Stevie Ray Vaughan,0
Thin Lizzy,0
Kiss (band),0
Ted Nugent,0
Great White,0
Joe Satriani,0
New York Dolls,0
Dio (band),0
Queensrÿche,0
Journey (band),0
Skid Row (American band),0
Boston (band),0
Damn Yankees (band),0
Def Leppard,0
Loverboy,0
Twisted Sister,0
Bon Jovi,0
FireHouse,0
Bad Company,0
The Outfield,0
The Presidents of the United States of America (band),0
Quiet Riot,0
Crash Test Dummies,1
INXS,2
Modest Mouse,2
AFI (band),2
Blondie (band),2
Sublime with Rome,2
Royal Blood (band),2
The Jam,2
Jeff Buckley,2
Ben Folds Five,2
Blur (band),2
The Verve,2
Jimmy Eat World,2
Paramore,2
Franz Ferdinand (band),2
Ramones,2
R.E.M.,2
Weezer,2
Incubus (band),2
Foals (band),2
Nine Inch Nails,2
Audioslave,2
Fall Out Boy,2
My Chemical Romance,2
Panic! at the Disco,2
Joy Division,2
Imagine Dragons,2
A Perfect Circle,2
Rage Against the Machine,2
Chris de Burgh,2
Fun (band),2
Radiohead,2
The Cardigans,2
Parliament-Funkadelic,2
Foster the People,2
Sum 41,2
The Used,2
Bowling for Soup,2
The Velvet Underground,2
The Killers,2
Travis (band),2
Sonic Youth,2
The Offspring,2
The Clash,2
Silverchair,2
The Black Keys,2
Sex Pistols,2
Michael Martin Murphey,2
Awolnation,2
Death Cab for Cutie,2
No Doubt,2
The Smashing Pumpkins,2
Arctic Monkeys,2
Queens of the Stone Age,2
Muse (band),2
Dropkick Murphys,2
Red Hot Chili Peppers,2
The Cab,2
Queen (band),2
Good Charlotte,2
Dashboard Confessional,2
Duran Duran,2
Flogging Molly,2
Coldplay,2
Smash Mouth,2
311 (band),2
Blink-182,2
U2,2
Social Distortion,2
Rise Against,2
Snow Patrol,2
Smokie (band),2
Avril Lavigne,2
Beck,2
Alanis Morissette,2
The Jesus and Mary Chain,2
Bloodhound Gang,2
Beastie Boys,2
Keane (band),2
The Cranberries,2
Jane's Addiction,2
Billy Talent,2
Simple Plan,2
The Monkees,2
Garbage (band),2
The Go-Go's,2
The Flaming Lips,2
Nirvana (band),2
David Bowie,2
Pink Floyd,2
Hole (band),2
Supertramp,2
Green Day,2
Cage the Elephant,2
Kid Rock,2
Foo Fighters,2
T. Rex (band),2
Twenty One Pilots,2
The Cure,2
England Dan & John Ford Coley,3
Bush (British band),4
Hoobastank,4
Godsmack,4
Dallas Green (musician),4
Halestorm,4
Buckcherry,4
Saving Abel,4
Evanescence,4
Puddle of Mudd,4
Pop Evil,4
Alice in Chains,4
3 Doors Down,4
Hinder,4
Live (band),4
Drowning Pool,4
Creed (band),4
The Pretty Reckless,4
Alter Bridge,4
Chevelle (band),4
Soundgarden,4
Fuel (band),4
Velvet Revolver,4
Our Lady Peace,4
Theory of a Deadman,4
Linkin Park,4
Flyleaf (band),4
Collective Soul,4
Three Days Grace,4
Shinedown,4
Thousand Foot Krutch,4
Thirty Seconds to Mars,4
Stone Sour,4
Matchbox Twenty,4
Skillet (band),4
Nickelback,4
Breaking Benjamin,4
Finger Eleven,4
Days of the New,4
The Tragically Hip,4
Disturbed (band),4
Highly Suspect,4
Daughtry (band),4
Papa Roach,4
Starset,4
Filter (band),4
P.O.D.,4
Staind,4
Stone Temple Pilots,4
Seether,4
Hootie & the Blowfish,4
Dave Matthews Band,5
Eric Clapton,5
Vampire Weekend,5
Eagles (band),5
Greta Van Fleet,5
Manfred Mann (musician),5
Harry Nilsson,5
The Boxtones,5
Five for Fighting,5
Grand Funk Railroad,5
Yes (band),5
Chubby Checker,5
Simon & Garfunkel,5
Tom Petty,5
Peter Frampton,5
Ten Years After,5
The Mamas & the Papas,5
The Doors,5
Tom Petty and the Heartbreakers,5
Chris Rea,5
Grateful Dead,5
John Mayer,5
The Big Bopper,5
ABBA,5
Genesis (band),5
The Four Seasons (band),5
Sheryl Crow,5
Harry Chapin,5
Gene Vincent,5
Steve Winwood,5
Elvis Costello,5
Blues Traveler,5
Van Morrison,5
Ritchie Valens,5
Bee Gees,5
Bread (band),5
The Lovin' Spoonful,5
The Everly Brothers,5
Elvis Presley,5
Sam Fender,5
Mike and the Mechanics,5
John Mayall,5
Counting Crows,5
The Police,5
Eddie Cochran,5
Dire Straits,5
Traveling Wilburys,5
Gin Blossoms,5
Traffic (band),5
Jethro Tull (band),5
The Beach Boys,5
Steely Dan,5
Hall & Oates,5
Creedence Clearwater Revival,5
Lenny Kravitz,5
Badfinger,5
Jerry Lee Lewis,5
Fats Domino,5
"Crosby, Stills, Nash & Young",5
Kaleo (band),5
Paul McCartney and Wings,5
Elton John,5
Everclear (band),5
Toto (band),5
The Who,5
Jefferson Starship,5
Sly and the Family Stone,5
Manfred Mann Chapter Three,5
Fleetwood Mac,5
Jackson Browne,5
The Allman Brothers Band,5
Rod Stewart,5
Bruce Springsteen,5
Train (band),5
The Rolling Stones,5
Cream (band),5
Jefferson Airplane,5
Small Faces,5
John Mellencamp,5
Limp Bizkit,6
Motörhead,6
Killswitch Engage,6
Iron Maiden,6
Korn,6
Faith No More,6
Tool (band),6
Trivium (band),6
Slipknot (band),6
Avenged Sevenfold,6
Marilyn Manson (band),6
W.A.S.P. (band),6
Coheed and Cambria,6
Lamb of God (band),6
Deftones,6
Megadeth,6
Black Veil Brides,6
Slayer,6
Rob Zombie,6
Ghost (Swedish band),6
Rammstein,6
Metallica,6
Accept (band),6
Primus (band),6
Pantera,6
Volbeat,6
Bring Me the Horizon,6
System of a Down,6
White Zombie (band),6
Sepultura,6
Mudvayne,6
Bullet for My Valentine,6
Anthrax (American band),6
Lacuna Coil,6
Five Finger Death Punch,6
Van Zant (band),7
