source,target
10cc,The Yardbirds
10cc,Simon & Garfunkel
10cc,The Hollies
10cc,Herman's Hermits
10cc,The Beatles
10cc,The Moody Blues
10cc,Frank Zappa
10cc,Queen (band)
10cc,Roxy Music
10cc,George Harrison
10cc,Asia (band)
10cc,The Police
10cc,Duran Duran
10cc,Peter Gabriel
10cc,The Clash
10cc,Jethro Tull (band)
10cc,Ramones
10cc,Paul McCartney
10cc,Ringo Starr
10cc,ABBA
10cc,Steely Dan
10cc,Toto (band)
10cc,Electric Light Orchestra
10 Years (band),Disturbed (band)
10 Years (band),Breaking Benjamin
10 Years (band),Mudvayne
10 Years (band),Korn
10 Years (band),Deftones
10 Years (band),Stone Temple Pilots
10 Years (band),Thousand Foot Krutch
10 Years (band),Linkin Park
10 Years (band),Shinedown
10 Years (band),Puddle of Mudd
3 Doors Down,Rush (band)
3 Doors Down,Lynyrd Skynyrd
3 Doors Down,Nickelback
3 Doors Down,Bob Seger
3 Doors Down,Puddle of Mudd
3 Doors Down,ZZ Top
3 Doors Down,Daughtry (band)
3 Doors Down,Shinedown
3 Doors Down,Alter Bridge
3 Doors Down,Staind
3 Doors Down,Hinder
3 Doors Down,Kiss (band)
311 (band),Yes (band)
311 (band),"Emerson, Lake & Palmer"
311 (band),The Cure
311 (band),Papa Roach
311 (band),The Offspring
311 (band),Sublime with Rome
311 (band),Incubus (band)
311 (band),Pink Floyd
311 (band),The Rolling Stones
311 (band),Asia (band)
311 (band),John Lennon
311 (band),Billy Joel
311 (band),Deftones
311 (band),The Clash
311 (band),Red Hot Chili Peppers
311 (band),Led Zeppelin
311 (band),Jane's Addiction
311 (band),Faith No More
38 Special (band),Lynyrd Skynyrd
38 Special (band),Journey (band)
38 Special (band),The Who
38 Special (band),The Rolling Stones
38 Special (band),Peter Frampton
38 Special (band),Kiss (band)
38 Special (band),Survivor (band)
38 Special (band),Bryan Adams
38 Special (band),Huey Lewis and the News
38 Special (band),Bon Jovi
38 Special (band),Jefferson Starship
38 Special (band),The Cars
38 Special (band),Billy Joel
38 Special (band),Ted Nugent
38 Special (band),REO Speedwagon
38 Special (band),Styx (band)
ABBA,The Beatles
ABBA,The Sweet
ABBA,Genesis (band)
ABBA,Led Zeppelin
ABBA,Scorpions (band)
ABBA,U2
ABBA,Robert Plant
ABBA,Queen (band)
ABBA,Iron Maiden
ABBA,Bee Gees
Accept (band),AC/DC
Accept (band),Judas Priest
Accept (band),Metallica
Accept (band),Slayer
Accept (band),Iron Maiden
Accept (band),Scorpions (band)
Accept (band),W.A.S.P. (band)
Accept (band),Damn Yankees (band)
Accept (band),Megadeth
Accept (band),Ozzy Osbourne
Accept (band),Motörhead
Accept (band),Stone Sour
Accept (band),Pantera
Accept (band),Anthrax (American band)
Accept (band),Guns N' Roses
Accept (band),Mötley Crüe
Accept (band),Alice in Chains
Accept (band),Soundgarden
AC/DC,Guns N' Roses
AC/DC,The Velvet Underground
AC/DC,The Rolling Stones
AC/DC,Chuck Berry
AC/DC,The Beatles
AC/DC,Lou Reed
AC/DC,Deep Purple
AC/DC,Black Sabbath
AC/DC,Ozzy Osbourne
AC/DC,Ted Nugent
AC/DC,Aerosmith
AC/DC,Kiss (band)
AC/DC,Styx (band)
AC/DC,Blue Öyster Cult
AC/DC,Cheap Trick
AC/DC,Slade
