title,word_count
10cc,11054
10 Years (band),4579
3 Doors Down,7647
311 (band),9003
38 Special (band),4574
ABBA,24677
Accept (band),7552
AC/DC,29807
Bryan Adams,39383
Aerosmith,31062
AFI (band),9859
Air Supply,8151
The Alan Parsons Project,3508
Alice in Chains,33162
The All-American Rejects,9399
The Allman Brothers Band,13177
Alter Bridge,12476
Ambrosia (band),4940
America (band),8463
The Animals,4853
Adam Ant,15468
Anthrax (American band),14538
April Wine,5943
Arcade Fire,17120
Arctic Monkeys,26409
Asia (band),9640
Audioslave,13600
Avenged Sevenfold,16564
Awolnation,9478
The B-52's,8061
Bachman–Turner Overdrive,10627
Bad Company,5659
Badfinger,14632
The Band,14224
The Bangles,5630
Barenaked Ladies,13014
Bay City Rollers,13233
The Beach Boys,37950
Beastie Boys,21213
The Beatles,36275
Bee Gees,23539
Beck,19476
Ben Folds Five,3874
Pat Benatar,9429
Chuck Berry,12969
The Big Bopper,4842
Billy Talent,7874
The Black Crowes,6229
The Black Keys,18064
Black Sabbath,30496
Black Stone Cherry,3087
Black Veil Brides,15135
Blink-182,22611
Blondie (band),12303
Bloodhound Gang,5141
Blue October,6339
Blue Öyster Cult,10816
Blues Traveler,5260
James Blunt,11884
Blur (band),13276
Bon Jovi,14838
Boston (band),8368
David Bowie,42576
Bowling for Soup,10813
The Boxtones,2459
Boys Like Girls,9813
Bread (band),5992
Breaking Benjamin,16605
Bring Me the Horizon,32368
Jackson Browne,8392
Buckcherry,4876
Jeff Buckley,13431
Bullet for My Valentine,20170
Chris de Burgh,4446
Bush (British band),7283
The Byrds,29044
Cage the Elephant,7720
Cake (band),9304
Canned Heat,6587
The Cab,8481
The Cardigans,3992
The Cars,4183
Catfish and the Bottlemen,9589
Harry Chapin,6465
Tracy Chapman,6804
Cheap Trick,7112
Chevelle (band),16146
Chicago (band),38062
Chubby Checker,7070
Cinderella (band),4020
Dallas Green (musician),8875
Eric Clapton,31931
The Clash,15634
Eddie Cochran,7422
Joe Cocker,7367
Coheed and Cambria,11602
Cold Chisel,11677
Coldplay,47199
Collective Soul,5749
Phil Collins,30605
Alice Cooper,28669
Alice Cooper (band),6295
Chris Cornell,35003
Elvis Costello,28930
Counting Crows,9418
The Cranberries,19771
Crash Test Dummies,5548
Cream (band),6589
Creed (band),12457
Creedence Clearwater Revival,10256
Jim Croce,4480
"Crosby, Stills, Nash & Young",15616
Christopher Cross,6273
Sheryl Crow,14104
Crowded House,10857
The Cult,14833
The Cure,16510
Damn Yankees (band),2512
Charlie Daniels,7839
Dashboard Confessional,5976
Daughtry (band),8291
The Dave Clark Five,4041
Dave Matthews Band,12564
Days of the New,5954
Death Cab for Cutie,10343
Deep Purple,22828
Def Leppard,16578
Deftones,20858
Depeche Mode,21266
Bo Diddley,12941
Dio (band),5089
Dire Straits,12713
Disturbed (band),11847
Fats Domino,8636
Donovan,11929
The Doobie Brothers,11285
The Doors,15877
Dropkick Murphys,14445
Drowning Pool,5670
Duran Duran,19921
Ian Dury,8679
Bob Dylan,42556
Eagles (band),16870
Echo & the Bunnymen,7601
Duane Eddy,9951
Edgar Winter,5971
Electric Light Orchestra,9547
"Emerson, Lake & Palmer",10737
England Dan & John Ford Coley,2357
Melissa Etheridge,9015
Europe (band),8193
Evanescence,29450
Everclear (band),6029
Everlast,4239
The Everly Brothers,9031
Extreme (band),4026
Faces (band),6273
Faith No More,15723
Fall Out Boy,38263
Bryan Ferry,11905
Filter (band),8096
Finger Eleven,5858
FireHouse,3580
Five Finger Death Punch,16782
Five for Fighting,11025
The Fixx,1850
The Flaming Lips,11670
Fleetwood Mac,20225
Flogging Molly,2679
Florence and the Machine,17516
Flyleaf (band),7124
Foals (band),6953
Dan Fogelberg,3653
John Fogerty,8988
Foo Fighters,19672
Foreigner (band),12175
Foster the People,10812
The Four Seasons (band),14573
Peter Frampton,9699
Franz Ferdinand (band),8569
The Fray,9018
Glenn Frey,8713
Fuel (band),5667
Fun (band),4073
Funkadelic,2859
Peter Gabriel,20534
Garbage (band),16664
Genesis (band),25136
Ghost (Swedish band),26075
Gin Blossoms,4834
Gary Glitter,14663
The Go-Go's,6855
Godsmack,14272
Golden Earring,3936
Goo Goo Dolls,8354
Good Charlotte,12860
Grand Funk Railroad,5476
Grateful Dead,21435
Great White,9634
Green Day,35198
Greta Van Fleet,9868
The Guess Who,7634
Guns N' Roses,60934
Halestorm,6216
Bill Haley & His Comets,10010
Hall & Oates,12362
George Harrison,26805
Heart (band),13078
Jimi Hendrix,28918
Don Henley,10880
Herman's Hermits,6425
Highly Suspect,4704
Hinder,6465
The Hives,6251
Hole (band),16712
The Hollies,6535
Buddy Holly,12782
Hoobastank,4704
Hootie & the Blowfish,4590
Icehouse (band),9921
Billy Idol,10558
Imagine Dragons,17706
Incubus (band),11303
Interpol (band),6411
INXS,14422
Iron Maiden,27774
The J. Geils Band,5106
The Jam,8618
Tommy James and the Shondells,3983
Jane's Addiction,14071
Jefferson Airplane,12976
Jefferson Starship,10388
The Jesus and Mary Chain,9660
Jet (Australian band),11701
Jethro Tull (band),12593
Joan Jett,11725
Jimmy Eat World,8035
Billy Joel,28799
Elton John,41474
Janis Joplin,22526
Journey (band),13660
Joy Division,8980
Judas Priest,22797
Kaiser Chiefs,6859
Kaleo (band),6289
Kansas (band),7561
Keane (band),10111
Kid Rock,18159
The Killers,20227
Killswitch Engage,11657
Kings of Leon,7811
The Kinks,19910
Kiss (band),27612
Korn,30096
Lenny Kravitz,13300
Lacuna Coil,7090
Lamb of God (band),15375
Avril Lavigne,38757
Led Zeppelin,21781
John Lennon,30436
Huey Lewis and the News,5767
Jerry Lee Lewis,15168
Lifehouse (band),6408
Limp Bizkit,30615
Linkin Park,38938
Little Richard,26078
Little River Band,17904
Live (band),5691
Living Colour,5729
Kenny Loggins,7090
Loverboy,3684
The Lovin' Spoonful,26931
The Lumineers,9805
Lynyrd Skynyrd,9407
The Mamas & the Papas,8437
Manfred Mann,4181
Manfred Mann (musician),2383
Manfred Mann's Earth Band,6744
Manfred Mann Chapter Three,532
Marilyn Manson,36778
Marilyn Manson (band),46154
The Marshall Tucker Band,7325
Matchbox Twenty,5961
John Mayer,28125
John Mayall,6434
John Mayall & the Bluesbreakers,1928
Paul McCartney,42583
Meat Loaf,19927
Megadeth,30075
John Mellencamp,15360
Men at Work,7016
Metallica,34999
Midnight Oil,17683
Mike and the Mechanics,4163
Modest Mouse,6696
Eddie Money,5698
The Monkees,17778
Montgomery Gentry,8823
The Moody Blues,14171
Alanis Morissette,18861
Van Morrison,32268
Morrissey,30610
The Mothers of Invention,8806
Mötley Crüe,30954
Motörhead,21714
Mudvayne,7963
Mumford & Sons,11242
Michael Martin Murphey,6253
Muse (band),15393
My Chemical Romance,29323
New York Dolls,10787
Nickelback,13404
Stevie Nicks,23187
Harry Nilsson,8693
Nine Inch Nails,37614
Nirvana (band),15518
No Doubt,10868
Ted Nugent,18453
Oasis (band),20840
The Offspring,14894
Roy Orbison,16446
Ozzy Osbourne,28574
Our Lady Peace,9493
The Outfield,5977
P.O.D.,7936
Panic! at the Disco,22207
Pantera,16664
Papa Roach,17226
